ID,LONG_AXIS,PIXEL_SCALE,ROUNDNESS,SHORT_AXIS,SURFACE,VOLUME
190,6.0823287,9.0420000,0.51625183,3.1400133,60.000000,188.40080
191,10.931650,9.0420000,0.47413135,5.1830381,178.00000,922.58078
192,5.6036268,9.0420000,0.47644149,2.6698003,47.000000,125.48061
193,6.8743896,9.0420000,0.52538352,3.6116910,78.000000,281.71190
194,6.7800992,9.0420000,0.60241709,4.0844476,87.000000,355.34694
195,3.4279472,9.0420000,1.0564440,3.6214343,39.000000,141.23594
196,5.9953589,9.0420000,0.54904942,3.2917484,62.000000,204.08840
197,5.0112271,9.0420000,0.69714747,3.4935643,55.000000,192.14603
198,6.2501653,9.0420000,0.35852529,2.2408423,44.000000,98.597063
199,3.8173224,9.0420000,0.80822852,3.0852688,37.000000,114.15495
200,5.2499648,9.0420000,0.75067284,3.9410060,65.000000,256.16539
201,5.0226432,9.0420000,0.75707120,3.8024985,60.000000,228.14991
202,5.1544655,9.0420000,0.70686237,3.6434977,59.000000,214.96636
203,6.5346430,9.0420000,0.68579485,4.4814245,92.000000,412.29106
204,4.7463335,9.0420000,0.48041056,2.2801887,34.000000,77.526417
205,5.7680474,9.0420000,0.89933260,5.1873931,94.000000,487.61495
206,3.9780455,9.0420000,0.72412434,2.8805995,36.000000,103.70158
207,4.7938747,9.0420000,0.62328875,2.9879681,45.000000,134.45857
208,4.5685884,9.0420000,0.76252847,3.4836787,50.000000,174.18394
209,2.6953664,9.0420000,0.87628324,2.3619044,20.000000,47.238088
210,4.7628990,9.0420000,0.91205438,4.3440229,65.000000,282.36149
211,5.1903739,9.0420000,0.54351392,2.8210405,46.000000,129.76786
212,5.9536228,9.0420000,0.71841845,4.2771925,80.000000,342.17540
213,7.4566052,9.0420000,0.59538949,4.4395844,104.00000,461.71678
214,3.4867680,9.0420000,0.91637255,3.1951785,35.000000,111.83125
215,6.8740649,9.0420000,0.49175155,3.3803320,73.000000,246.76424
216,3.4875565,9.0420000,1.0206391,3.5595367,39.000000,138.82193
217,5.7550292,9.0420000,0.61508486,3.5398313,64.000000,226.54920
